# GENERATED FILE — DO NOT EDIT BY HAND.
# Tool: tools/generate_traceability_matrix.cjs v1.0.0
# Commit: 861f03c
# Requirements: 209 | traced: 51 | implemented without a named test: 73 | not traced in code: 85
#
# The authored columns come from spec/Vinculum_Finalis_Requirement_Traceability.csv.
# The columns marked (generated) are derived from the repository at the commit above.
# Regenerate with: node tools/generate_traceability_matrix.cjs
#
# "NOT TRACED IN CODE" is expected for governance, process, and website
# requirements that no contract implements. It is not a defect and is not a
# finding; see reviewers/red-team/README.md.
Requirement ID,Specification section,Architecture component,Implemented in (generated),Tested by (generated),Source-environment program (generated),Traceability (generated),Positive test obligation,Negative or boundary test obligation,Deployment verification obligation,Current status
VF-STK-015,10.3,BASE-EPOCH,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch,base-contracts/test/05_staking_lifecycle.test.cjs:VF-STK-015: an epoch with no stakers allocates nothing,,TRACED,Confirm zero-eligible epoch mints nothing/closes/marks credits used (at allocation),Confirm value carried,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-016,10.4,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:remainingToAllocate,,,IMPLEMENTED — NO NAMED TEST,Confirm claimable VCLM accumulates and never expires,Confirm expiry,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-017,10.4,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm user may claim all accumulated in one tx,Confirm forced partial claim,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-018,10.4,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:claimVclm,,,IMPLEMENTED — NO NAMED TEST,Confirm claims transfer minted VCLM; no re-mint/recalc/capacity,Confirm re-mint on claim,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-019,10.4,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:claimVclm,,,IMPLEMENTED — NO NAMED TEST,Confirm claims only to owner or bound reward destination,Confirm claim to other,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-020,10.4,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:remainingToAllocate | base-contracts/contracts/VinculumFinalisStake.sol:withdrawPosition,base-contracts/test/29_withdrawal_forfeit.test.cjs | base-contracts/test/29_withdrawal_forfeit.test.cjs:VF-STK-020: withdrawal never erases VCLM already credited | base-contracts/test/29_withdrawal_forfeit.test.cjs:withdrawing before allocation forfeits that epoch (VF-STK-020) | base-contracts/test/30_cl89_bounded_allocation.test.cjs,,TRACED,Confirm withdrawal of matured staked tokens does not erase claimable VCLM,Confirm claimable erased on withdraw,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-021,10.5,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:createPosition | base-contracts/contracts/VinculumFinalisStake.sol:queueExtension,,,IMPLEMENTED — NO NAMED TEST,Confirm while active may queue one future term 30/60/90/120d,Confirm other term queued,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-022,10.5,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:applyExtensionIfMatured,,,IMPLEMENTED — NO NAMED TEST,Confirm queued term begins at scheduled end of current term; current multiplier until then,Confirm immediate multiplier change,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-023,10.5,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:queueExtension,,,IMPLEMENTED — NO NAMED TEST,Confirm only one future term queued at a time,Confirm multiple queued,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-024,10.5,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:queueExtension,,,IMPLEMENTED — NO NAMED TEST,Confirm extension adds/removes no tokens and charges no fee,Confirm token/fee change,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-025,10.5,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:applyExtensionIfMatured | base-contracts/contracts/VinculumFinalisStake.sol:queueExtension | base-contracts/contracts/VinculumFinalisStake.sol:withdrawPosition,base-contracts/test/01_findings.test.cjs:CL-14 · VF-STK-025 expired position cannot backdate over a gap | base-contracts/test/01_findings.test.cjs:queueExtension reverts once the position has expired,,TRACED,Confirm without queued extension position inactive at maturity; expired cannot cover gap,Confirm retroactive coverage,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-026,10.6,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:closeEpoch | base-contracts/contracts/VinculumFinalisStake.sol:withdrawPosition,base-contracts/test/29_withdrawal_forfeit.test.cjs,,TRACED,Confirm proportional share at 18-decimal VCLM precision; rounds down to base unit,Confirm round-up,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-027,10.6,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:withdrawPosition,"base-contracts/test/28_cl87_complete_epoch_reward.test.cjs | base-contracts/test/28_cl87_complete_epoch_reward.test.cjs:mints totalReward, not the rounded-down sum, and leaves dust unreachable | base-contracts/test/29_withdrawal_forfeit.test.cjs",,TRACED,Confirm microscopic remainder inaccessible; not carried/redirected/reused,Confirm remainder reused,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-028,10.6,BASE-EPOCH + BASE-CAP,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:closeEpoch | base-contracts/contracts/VinculumFinalisStake.sol:mint,base-contracts/test/30_cl89_bounded_allocation.test.cjs,,TRACED,Confirm epoch reward exceeding remaining VCLM capacity (at phase-2 allocate) mints nothing/closes/marks credits used,Confirm partial mint,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-029,10.6,BASE-STAKE + BASE-CAP,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:createPosition | base-contracts/contracts/VinculumFinalisStake.sol:mint,,,IMPLEMENTED — NO NAMED TEST,Confirm at zero VCLM capacity stake closes to new positions+extensions,Confirm new position at cap,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-030,10.6,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:withdrawPosition,,,IMPLEMENTED — NO NAMED TEST,Confirm at terminal state staked tokens immediately withdrawable; claimable rewards remain,Confirm withdrawals blocked,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-031,10.6,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:createPosition,,,IMPLEMENTED — NO NAMED TEST,Confirm position requires positive nonzero token amount; no other minimum,Confirm zero/extra minimum,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-001,13.1,BASE-CAP,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,base-contracts/test/00_smoke.test.cjs,,TRACED,Confirm every issuance path reconciles against global lifetime hard cap,Confirm unreconciled path,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-002,13.1,BASE-CAP,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisStake.sol:mint,base-contracts/test/24_cl84_lifetime_cap.test.cjs:CL-84 · both issuance paths draw the same cap (VF-SUP-002) | base-contracts/test/24_cl84_lifetime_cap.test.cjs:vault issuance and stake rewards decrement one shared figure,,TRACED,Confirm Commitment Vault + stake rewards draw same VCLM lifetime hard cap,Confirm separate caps,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-003,13.1,BASE-CAP,base-contracts/contracts/VinculumFinalisCap.sol,base-contracts/test/24_cl84_lifetime_cap.test.cjs:CL-84 · BASE-CAP monotonicity (VF-SUP-003) | base-contracts/test/24_cl84_lifetime_cap.test.cjs:consumes capacity permanently — there is no path that restores it,,TRACED,Confirm burning reduces circulating supply only; not lifetime issuance/capacity,Confirm burn restores capacity,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-004,13.1,BASE-ACT,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisCap.sol:recordChonxIssuance,,,IMPLEMENTED — NO NAMED TEST,Confirm activation uses cumulative lifetime issuance not circulating/burned/time/governance,Confirm other measure,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-005,13.2,BASE-CAP + BASE-ISSUE,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisCap.sol:initialize,base-contracts/test/24_cl84_lifetime_cap.test.cjs:rejects issuance beyond remaining capacity in full (VF-SUP-005),,TRACED,Confirm issuance exceeding remaining capacity rejected in full (issuance separate from fee verification/RAC),Confirm partial issuance; confirm RAC gated on issuance,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-006,13.2,BASE-ISSUE,,,,NOT TRACED IN CODE,Confirm partial issuance prohibited; no substitute token/recipient/reduced output,Confirm substitute,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-007,13.2,BASE-VERIFY,,,,NOT TRACED IN CODE,Confirm rejected attempt reserves no capacity and does not consume lock id (RAC may still record on fee verification),Confirm id consumed on reject; confirm RAC blocked,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-008,13.2,SRC-RELEASE,,,,NOT TRACED IN CODE,Confirm permanent impossible issuance = no refund/reversal; principal releasable; verified fee still creates RAC unless cap zero,Confirm refund/reversal,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-009,13.3,BASE-EPOCH + BASE-CAP,base-contracts/contracts/VinculumFinalisCap.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm epoch reward not fitting capacity (phase-2 allocate) mints zero/closes/marks credits used,Confirm partial epoch mint,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-010,13.3,BASE-EPOCH,,,,NOT TRACED IN CODE,Confirm later smaller complete epoch reward issued if fits capacity (phase-2 allocate),Confirm later reward blocked,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-011,13.3,BASE-STAKE,,,,NOT TRACED IN CODE,Confirm at zero VCLM capacity stake enters terminal state,Confirm non-terminal,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-012,13.3,BASE-RAC + SRC-FEE,base-contracts/contracts/VinculumFinalisVerifier.sol:finalize | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac,,,IMPLEMENTED — NO NAMED TEST,Confirm at zero VCLM capacity fees still reach Dev Fund for valid CHONX output but no RAC (fee verification proceeds),Confirm RAC created,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-013,13.4,BASE-CAP,base-contracts/contracts/VinculumFinalisCap.sol,base-contracts/test/24_cl84_lifetime_cap.test.cjs:accepts only registered recorders (VF-SUP-013),,TRACED,Confirm only protocol-authorized Base issuance increases lifetime issuance,Confirm transport counted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-014,13.4,AXELAR-ITS,base-contracts/contracts/VinculumFinalisCap.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm Axelar transport not counted as new CV/stake/forge issuance,Confirm transport counted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SUP-015,13.4,SRC-LOCK,base-contracts/contracts/VinculumFinalisCap.sol:remainingChonxCapacity | base-contracts/contracts/VinculumFinalisSynth.sol | base-contracts/contracts/VinculumFinalisSynth.sol:forge | base-contracts/contracts/VinculumFinalisToken.sol | base-contracts/contracts/VinculumFinalisToken.sol:initialize | base-contracts/contracts/VinculumFinalisToken.sol:mint | base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs,IMPLEMENTED — NO NAMED TEST,Confirm preflight reserves no capacity/guarantees issuance; communicated before completion,Confirm preflight guarantees,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-001,4.1,BASE-TOK-*,base-contracts/contracts/VinculumFinalisSynth.sol | base-contracts/contracts/VinculumFinalisSynth.sol:balanceOf | base-contracts/contracts/VinculumFinalisSynth.sol:forge | base-contracts/contracts/VinculumFinalisToken.sol,,solana-vault/programs/vf-solana-vault/src/constants.rs,IMPLEMENTED — NO NAMED TEST,Confirm 18 decimals for all 3 tokens,Confirm non-18 decimals rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-002,4.1,BASE-ACT + BASE-VERIFY,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs,IMPLEMENTED — NO NAMED TEST,Confirm CHONX activates permanently at 10M cumulative lifetime VCLM; BASE-ACT records activation block+timestamp + emits activation message; causal receipt verified at creation,Confirm pre-activation CHONX selection rejected (Section H causal receipt via source flag or proof-verification path),N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-TOK-003,4.1,BASE-ACT,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisSynth.sol | base-contracts/contracts/VinculumFinalisSynth.sol:balanceOf | base-contracts/contracts/VinculumFinalisSynth.sol:forge,,,IMPLEMENTED — NO NAMED TEST,Confirm SYNTH activates permanently at 100M cumulative lifetime CHONX,Confirm pre-activation SYNTH forge rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-004,4.1,BASE-FORGE,base-contracts/contracts/VinculumFinalisSynth.sol | base-contracts/contracts/VinculumFinalisSynth.sol:balanceOf | base-contracts/contracts/VinculumFinalisSynth.sol:forge | base-contracts/contracts/VinculumFinalisSynth.sol:isActivationThresholdReached,,,IMPLEMENTED — NO NAMED TEST,Confirm 1 SYNTH = burn 1000 VCLM + 10000 CHONX,Confirm wrong burn ratios rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-005,4.1,BASE-FORGE,,,,NOT TRACED IN CODE,Confirm forge is one-way,Confirm reversal/redemption/admin restore rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-006,4.1,BASE-ISSUE,,,,NOT TRACED IN CODE,Confirm SYNTH never a Commitment Vault output,Confirm SYNTH output selection rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-007,4.1,SRC-LOCK,base-contracts/contracts/VinculumFinalisToken.sol | base-contracts/contracts/VinculumFinalisVerifier.sol,,solana-vault/programs/vf-solana-vault/src/error.rs,IMPLEMENTED — NO NAMED TEST,Confirm VCLM/CHONX/SYNTH prohibited as inputs,Confirm protocol-token input rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-008,4.2,BASE-EMIT,,,,NOT TRACED IN CODE,Confirm VCLM decay from launch; CHONX from activation,Confirm decay start misaligned,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-009,4.2,BASE-EMIT,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisToken.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm schedule advances only after complete 30-day period,Confirm partial-period advance rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-010,4.2,BASE-EMIT,base-contracts/contracts/VinculumFinalisCap.sol | base-contracts/contracts/VinculumFinalisSynth.sol | base-contracts/contracts/VinculumFinalisSynth.sol:balanceOf | base-contracts/contracts/VinculumFinalisToken.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm round-down at each 30-day step,Confirm rounding-up rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-011,4.2,BASE-MULT,,,,NOT TRACED IN CODE,Confirm multipliers applied after emission rate; do not alter decay,Confirm multiplier reorders decay,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-012,4.2,APP-PUBLIC,,,,NOT TRACED IN CODE,Confirm reference values presented as issuance references not prices,Confirm guarantee/promises rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-013,4.3,BASE-TOK-*,,,,NOT TRACED IN CODE,Confirm no transfer tax/allowlist/freeze/restriction,Confirm restriction present,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-014,4.3,APP-PUBLIC + BASE-VERIFY,,,,NOT TRACED IN CODE,Confirm external markets do not alter issuance/supply/reward/activation,Confirm market alters protocol,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-TOK-015,4.3,APP-PUBLIC,,,,NOT TRACED IN CODE,Confirm no listing/price/value guarantee,Confirm guarantee language present,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-VER-001,16,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm each requirement maps to contracts/programs/functions/tests/checks,Confirm unmapped requirement,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-VER-002,16,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm positive tests cover every successful lifecycle (incl. RAC-on-fee-verification; delayed epoch allocate; per-identity Handshake one-or-three; causal CHONX receipt via source flag or proof-verification path; chain-equivalent designs; Pass 5: first qualifying attempt succeeds for a one-use identity; newly generated release public key completes its own one Handshake),Confirm missing positive,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-VER-003,16,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm negative tests cover invalid amounts/assets/prices/proofs/destinations/recipients/outputs/replays/early releases/cap breaches/unauthorized control/duplicate RAC/false precision/over-limit-qualifying-Handshake-by-same-identity (2nd for one-use; 4th for three-use)/arbitrary-raw-tx-creates-no-rights/timestamp-tolerance-invented/second-attempt-blocked-by-official-application/second-independently-broadcast-not-recognized/concurrent-firsts-cannot-both-be-recognized/stale-state-cannot-authorize/pending-blocks-official-submission/fee-actually-reached-Dev-Fund-not-refunded/no-discretionary-refund-mechanism/same-release-public-key-identity-across-address-encodings-change-outputs-maturities-script-wrappers/second-qualifying-Handshake-by-same-release-public-key-not-recognized/newly-generated-release-public-key-succeeds-own-Handshake/noncanonical-key-encoding-normalized-or-rejected/ambiguous-or-multi-key-maturity-release-rejected-for-Handshake/mempool-eviction-without-invalidation-remains-pending/utxo-still-valid-rebroadcastable-not-cleared-by-time/finalized-conflicting-utxo-spend-clears-original/evm-same-nonce-replacement-clears-original/solana-recent-blockhash-expiry-clears-non-durable-nonce/durable-nonce-advancement-clears-superseded/xrpl-lastledgersequence-expiry/stellar-finite-time-or-sequence-consumption/no-objectively-pending-identity-receives-second-submission/no-failed-invalid-replaced-expired-unrecognized-consumes-allowance,Confirm missing negative,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-VER-004,16,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm boundary tests cover thresholds/timestamps/fee rounding/per-identity Handshake applicable allowance (one-or-three)/multiplier transitions/epoch boundaries/term expirations/lifetime cap/precision rounding/allowance-consumption-at-source-completion-vs-recognition/release-public-key-identity-stability-across-encodings/pending-attempt-objective-disposition-and-invalidation-boundaries,Confirm missing boundary,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-VER-005,16,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm principal-isolation tests under Base/price/relayer/epoch/external failure,Confirm missing isolation test,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-VER-006,16,VERIFY-TEST,,,cosmos-hub-vault/contracts/vault/src/tests.rs,IMPLEMENTED — NO NAMED TEST,Confirm independent reproduction > self-reported pass counts,Confirm self-report only,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-VER-007,16,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm no package declared production/deployment-ready merely for compile/passing tests,Confirm premature declaration,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-VER-008,16,DOC-GOV,,,,NOT TRACED IN CODE,Confirm code/spec divergence treated as defect or spec matter; code does not prevail,Confirm code prevails,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-XCH-001,11.1,BASE-REG + SRC-LOCK,,,,NOT TRACED IN CODE,Confirm supported set = exactly 17 listed environments,Confirm 18th env,Confirm exact 17 recorded,RESOLVED — ARCHITECTURE DEFINED
VF-XCH-002,11.1,DEPLOY-FIN,,,,NOT TRACED IN CODE,Confirm no env add/remove/substitute without later spec decision,Confirm env substituted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-XCH-003,11.1,DEPLOY-MANIFEST,,,solana-vault/programs/vf-solana-vault/src/instructions/initialize.rs | solana-vault/programs/vf-solana-vault/src/state.rs,IMPLEMENTED — NO NAMED TEST,Confirm deployment records exact canonical network/chain id per env (Cosmos Hub identified),Confirm missing id,Confirm 17 ids recorded,DEFERRED EXTERNAL INPUT
VF-XCH-004,11.1,SRC-LOCK,,,,NOT TRACED IN CODE,Confirm principal remains on source; no bridge as part of lock,Confirm principal bridged,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-XCH-005,11.1,SRC-BIND,,,,NOT TRACED IN CODE,Confirm source binds user/principal-release dest/asset/amount/creation/maturity within the chain-native atomic construction (verified at recognition),Confirm missing binding,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-XCH-006,11.2,BASE-VERIFY,base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:_verifySource | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint | base-contracts/contracts/interfaces/IChainVerifier.sol | base-contracts/contracts/mocks/MockChainVerifier.sol,base-contracts/test/04_endtoend.test.cjs:VF-XCH-006: an unfinalized source event is rejected,,TRACED,Confirm no issuance until source satisfies documented exact finality (Section C),Confirm pre-finality issuance,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-XCH-007,11.2,DEPLOY-FIN + architecture,,,,NOT TRACED IN CODE,Confirm architecture documents exact finality for all 17,Confirm missing finality,Confirm 17 documented,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-XCH-008,11.2,SRC-LOCK,,,,NOT TRACED IN CODE,Confirm relayer/human cannot shorten/waive finality,Confirm waived finality,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-XCH-009,11.2,BASE-VERIFY,,,solana-vault/programs/vf-solana-vault/src/events.rs,IMPLEMENTED — NO NAMED TEST,Confirm delays do not alter Valuation Timestamp/lock timestamp/maturity/output/recipient/issuance,Confirm alteration,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-XCH-010,11.2,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm premature/unconfirmed/reversed events cannot authorize issuance (per-env reorg handling Section C),Confirm reversed event issued,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-XCH-011,11.3,SRC-EVID + BASE-VERIFY,base-contracts/contracts/VinculumFinalisBaseVault.sol:assetPrecisionTable | base-contracts/contracts/VinculumFinalisEvmVault.sol | base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:_verifySource | base-contracts/contracts/chain-verifiers/ArbitrumChainVerifier.sol:isRecorded | base-contracts/contracts/chain-verifiers/BaseSameChainVerifier.sol | base-contracts/contracts/chain-verifiers/EthereumChainVerifier.sol:blockTimestampOf | base-contracts/contracts/chain-verifiers/OpStackFaultProofVerifier.sol:highestRecorded | base-contracts/contracts/chain-verifiers/PolygonChainVerifier.sol:isRecorded | base-contracts/contracts/interfaces/IChainVerifier.sol | base-contracts/contracts/interfaces/IChainVerifier.sol:verifyFinality | base-contracts/contracts/mocks/MockChainVerifier.sol,base-contracts/test/04_endtoend.test.cjs:VF-XCH-011: a package contradicting the source facts is rejected | base-contracts/test/10_cl76_forged_package.test.cjs | base-contracts/test/13_base_e2e.test.cjs:element 10 — a failed attempt consumes nothing and the lock stays mintable | base-contracts/test/18_ethereum_verifier.test.cjs:rejects a failed transaction receipt | base-contracts/test/20_polygon_verifier.test.cjs:link 4: rejects Bor receipt bytes differing from the proven value | base-contracts/test/21_arbitrum_verifier.test.cjs:link 4: rejects L2 receipt bytes differing from the proven value | base-contracts/test/23_opstack_faultproof.test.cjs:OpStackFaultProofVerifier — the four fault-proof conditions | base-contracts/test/25_w1_identity_binding.test.cjs | base-contracts/test/25_w1_identity_binding.test.cjs:W1-01a · a package naming a different baseRecipient must not mint | base-contracts/test/25_w1_identity_binding.test.cjs:W1-01c · a package naming a different selectedOutputToken must not mint | base-contracts/test/25_w1_identity_binding.test.cjs:W1-02a · a package naming a different canonicalAssetId must not mint | base-contracts/test/25_w1_identity_binding.test.cjs:W1-02c · substituting to a higher custody class must not mint | base-contracts/test/25_w1_identity_binding.test.cjs:W1-09a · a package with a rewound valuationTimestamp must not mint | base-contracts/test/26_w2_remote_evm_identity.test.cjs | base-contracts/test/26_w2_remote_evm_identity.test.cjs:W2-04 · a receipt with no Detail log must not verify,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | cosmos-hub-vault/contracts/vault/src/state.rs | solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm evidence binds all VF-XCH-011 fields incl. rac_identity + handshake_identity + handshake_allowance_count + chonx_activation_receipt + asset_precision,Confirm missing field,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-XCH-012,11.3,RELAY,base-contracts/contracts/chain-verifiers/ArbitrumChainVerifier.sol | base-contracts/contracts/chain-verifiers/BaseSameChainVerifier.sol | base-contracts/contracts/chain-verifiers/EthereumChainVerifier.sol | base-contracts/contracts/chain-verifiers/OpStackFaultProofVerifier.sol | base-contracts/contracts/chain-verifiers/PolygonChainVerifier.sol | base-contracts/contracts/light-clients/Sha256dHeaderChain.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm relayer cannot change contents/choose output/redirect/approve; signature does not establish truth,Confirm relayer authority,N/A,RESOLVED — ARCHITECTURE DEFINED
